@RELATION 	Feature20

@ATTRIBUTE 	Text	string
@ATTRIBUTE 	Class 	{Positive, Negative, Neutral}

@DATA
"בנוסף הוא גם עם מכסה אחורי נשלף כך שאפשר להחליף אותו כאשר הוא נהרס",Positive
"אייפון שש הוא מכשיר מצויין מתאים לכל אחד פרקטי שימושי ועמיד אני לאחר התנסות עם שני המכשירים אשר מנהלים ביניהם מחלוקת מי יותר טוב אנדרואיד ואייפון",Positive
"יתרה מכך המכשיר עמיד ושרד הרבה נפילות בעבר",Positive
"הטלפון מאוד מהיר סופר מהיר זה בעצם הטלפון המושלם למי שמחפש טלפון עמיד להמון זמן",Positive
"שורד המון המון זמן",Positive
"מכשיר מדהים ומהיר בטירוף חסין למים ואבק ממליץ לכולם על הצבע cooper שזה סוג של חום הזוי חזק יותר מכל מכשיר אחר ללא ספק עברתי מ htc one m8",Positive
"לסיכום המכשיר יחזיק יותר מאנדרואידים מדבר מניסיון של שני המכשירים",Positive
"אפשר לראות את זה גם כאשר משווים את זה שהמכשירי אייפון 4 שורדים כבר כמעט 3 שנים ואפשר לראות מכשירים שעדיין רצים מהר ללא תקיעות",Positive
"בנוסף מידותיו גם טובות לא קטן מדי או גדול מדי והוא גם די עמיד יחסית לפלסטיקה שלטעמי לא איכותית מספיק נפל לי המון פעמים ולא נשבר",Positive
"פלאפון מהיר ועובד חלק פשוט לתפעול מסך חד מרגיש כמו qued hd עמיד למים ואבק",Positive
"הכיסוי האחורי נוח ומונע נטייה לנפילות מחוספס כזה שלא רגיש לשריטות או משטחים לא חלקים",Positive
"נגד מים נרטב כבר מספר פעמים",Positive
"חזק מהיר יציב",Positive
"כי הוא נפל לה איזה 500 פעם ולא נשבר כלום למעט סריטות קטנות",Positive
"עמיד במים ואבק",Positive
"עמיד בפני מים",Positive
"עמיד למים לאבק ולנפילות",Positive
"לא מתקלקל כמעט",Positive
"מכשיר חזק ושרד נפילות חזקות כולל נפילה למים",Positive
"דוחה מים",Positive
"עמיד במים ממה שרשום לא לנסות בבית",Positive
"עמיד מים לא צלילה אלא הרטבות נקרות",Positive
"נפל לי מהכיס כבר 3 פעמים ואפילו לא שריטה",Positive
"הגנה מכנית נגד נפילות ארעיות",Positive
"עמידות במים ואבק",Positive
"המכשיר עמיד למים ואבק",Positive
"המטען המגנטי מאוד חשוב ונוח העמידות נגד מים ואבק נותנים שקט נפשי ששווה את ההפרש במחיר מול הטלפונים המתחרים",Positive
"למי שאין ציפורנים קצת קשה לפתוח את המכסה של הכניסה של המטען אבל זה משתלם בגלל שככה הוא נגד מים",Positive
"טלפון טוב אחלה מצלמה עמיד מעבד טוב וטלפון עם מעבד מהיר",Positive
"הוא אפילו נפל לי למים ואחרי שייבשתי אותו חזר לעבוד כמו גדול",Positive
"עמיד בפני מים ואבק",Positive
"לא נשכח גם את העמידות בפני מים ואבק ועוד ועוד",Positive
"ויש לו gorilla glass 2 שמגנה על המסך משברים",Positive
"מכשיר טוב לעבודה עמיד מאוד",Positive
"מהיר מערכת נפעלה יציבה הרבה עידכונים עמיד בנפילות",Positive
"מי שלא מכיר שידע כי אלו הסמרטפונים htc הטובים ביותר בכל השוואה שהיא ובעינין השרות הם לא מתקלקלים ולעולם לא נתקעים",Positive
